county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
Louisiana,9.0,13.9,16.1,18.7,21.4,23.0,13.6,25.5,9.7,6.3,15.0,9.3,17.4,10.3,20.1,11.9,21.4,23.0,13.6,27.4,15.5,9.7,6.3,15.0,9.3,17.4,10.3,20.1,11.9,21.4,23.0,13.6,27.4,15.5
Maine,8.4,14.4,18.8,22.9,27.3,30.6,22.9,33.6,9.3,7.3,15.4,13.2,21.0,16.0,25.4,19.4,27.3,30.6,22.9,37.6,27.9,9.3,7.3,15.4,13.2,21.0,16.0,25.4,19.4,27.3,30.6,22.9,37.6,27.9
Maryland,13.9,20.4,26.5,31.4,36.3,36.7,22.7,41.6,14.2,6.5,20.6,11.1,26.8,14.3,31.9,17.6,36.3,36.7,22.7,41.9,28.3,14.2,6.5,20.6,11.1,26.8,14.3,31.9,17.6,36.3,36.7,22.7,41.9,28.3
Massachusetts,12.6,20.0,27.2,33.2,39.0,39.0,35.3,45.2,12.6,10.8,20.0,19.7,27.3,26.0,33.2,31.5,39.0,39.0,35.3,45.3,41.8,12.6,10.8,20.0,19.7,27.3,26.0,33.2,31.5,39.0,39.0,35.3,45.3,41.8
Michigan,9.4,14.3,17.4,21.8,25.5,27.3,18.0,30.6,9.9,6.8,15.0,10.8,18.5,12.2,23.3,15.1,25.5,27.3,18.0,32.5,22.1,9.9,6.8,15.0,10.8,18.5,12.2,23.3,15.1,25.5,27.3,18.0,32.5,22.1
Minnesota,11.1,17.4,21.8,27.4,32.2,36.2,19.8,37.6,13.1,6.7,20.1,10.8,25.1,12.8,31.1,16.4,32.2,36.2,19.8,41.7,23.4,13.1,6.7,20.1,10.8,25.1,12.8,31.1,16.4,32.2,36.2,19.8,41.7,23.4
Mississippi,8.1,12.3,14.7,16.9,20.0,24.2,16.5,23.2,10.2,7.0,15.2,10.5,18.4,12.3,20.7,14.1,20.0,24.2,16.5,27.7,19.3,10.2,7.0,15.2,10.5,18.4,12.3,20.7,14.1,20.0,24.2,16.5,27.7,19.3
Missouri,9.0,13.9,17.8,21.6,25.8,29.6,15.0,30.7,10.1,5.8,15.9,8.6,20.5,10.2,24.9,12.5,25.8,29.6,15.0,34.7,18.3,10.1,5.8,15.9,8.6,20.5,10.2,24.9,12.5,25.8,29.6,15.0,34.7,18.3
Montana,11.0,17.5,19.8,24.4,28.5,30.5,27.4,33.7,14.1,9.5,20.0,16.1,22.2,18.5,26.9,23.1,28.5,30.5,27.4,35.5,32.7,14.1,9.5,20.0,16.1,22.2,18.5,26.9,23.1,28.5,30.5,27.4,35.5,32.7
Nebraska,9.6,15.5,18.9,23.7,28.1,33.3,19.6,32.9,12.7,6.7,19.3,11.4,23.4,13.4,28.6,16.9,28.1,33.3,19.6,38.1,23.3,12.7,6.7,19.3,11.4,23.4,13.4,28.6,16.9,28.1,33.3,19.6,38.1,23.3
Nevada,10.8,14.4,15.3,18.2,22.2,22.9,16.3,26.1,11.3,8.2,14.8,12.1,15.6,12.9,18.6,14.8,22.2,22.9,16.3,26.9,18.4,11.3,8.2,14.8,12.1,15.6,12.9,18.6,14.8,22.2,22.9,16.3,26.9,18.4
